date,Marzuki_EMA_withSleep_1,Marzuki_EMA_withSleep_2,Marzuki_EMA_withSleep_3,Marzuki_EMA_withSleep_4,Marzuki_EMA_withSleep_5,Marzuki_EMA_withSleep_6,Marzuki_EMA_withSleep_7,Marzuki_EMA_withSleep_8
24-May-2024 10:02:59,1,2,1,2,,1,,
26-May-2024 08:07:53,1,3,1,2,,1,,
27-May-2024 11:50:17,1,2,2,2,,1,,
28-May-2024 09:33:10,2,2,2,2,,2,,
29-May-2024 07:30:38,1,2,2,2,,1,,
30-May-2024 08:00:41,2,3,2,2,,1,,
31-May-2024 09:01:47,1,2,1,3,,1,,
01-Jun-2024 10:35:38,1,3,2,2,,1,,
02-Jun-2024 15:00:50,1,3,2,2,,0,,
03-Jun-2024 08:18:20,1,2,1,1,,1,,
05-Jun-2024 10:31:42,1,2,1,2,,1,,
06-Jun-2024 09:51:30,2,2,1,2,,1,,
