date,Marzuki_EMA_withSleep_1,Marzuki_EMA_withSleep_2,Marzuki_EMA_withSleep_3,Marzuki_EMA_withSleep_4,Marzuki_EMA_withSleep_5,Marzuki_EMA_withSleep_6,Marzuki_EMA_withSleep_7,Marzuki_EMA_withSleep_8
25-May-2024 10:00:43,1,3,1,3,,0,,
26-May-2024 10:30:38,1,2,1,2,,1,,
27-May-2024 07:53:44,0,4,0,3,,0,,
27-May-2024 07:53:45,0,4,0,3,,0,,
28-May-2024 10:30:29,1,1,1,2,,1,,
29-May-2024 09:30:26,3,1,2,1,,2,,
30-May-2024 07:31:16,0,2,1,2,,0,,
31-May-2024 08:54:09,1,2,1,2,,1,,
01-Jun-2024 09:00:27,1,3,1,2,,0,,
02-Jun-2024 10:59:38,0,3,0,2,,0,,
03-Jun-2024 10:30:49,0,3,1,2,,0,,
04-Jun-2024 09:51:08,1,2,1,2,,1,,
05-Jun-2024 10:58:36,1,2,1,2,,1,,
06-Jun-2024 10:54:38,0,2,0,2,,0,,
07-Jun-2024 09:10:14,1,2,2,2,,1,,
